event_id,status,capacity,event_name,description,location,time,group_id,organizer_id,tag_1,tag_2,duration
dfb2b990-550c-42a1-9b51-0eb74f67d9f9,Completed,13,Sports Tournament,Thrilling adventure,123 Main Street,2023-11-10T11:36:24Z,,,entertainment,conference,15
e020c5f4-1c1c-4cd9-ba85-0b27a39ee450,Cancelled,1,Birthday Party,Memorable occasion,123 Main Street,2023-08-02T13:00:48Z,,,marketing,conference,60
cc49b3e1-35c7-44cc-9f75-a70e4faec806,Scheduled,72,Charity Gala,Exciting event,456 Elm Avenue,2023-08-23T17:04:32Z,,,healthcare,conference,60
a4d0882d-ae89-4ff9-ae5d-ab5fa20bce79,In Progress,94,Art Exhibition,Remarkable gathering,321 Maple Court,2023-09-22T00:52:45Z,,,business,workshop,120
7dba10fd-f171-4b36-8ecd-bbae09af7d9e,Scheduled,64,Music Festival,Unforgettable experience,321 Maple Court,2023-03-19T11:41:01Z,,,science,product launch,105
bb479ec7-58de-414a-9a50-bbe072ebc5b3,In Progress,10,Birthday Party,Exciting event,789 Oak Lane,2023-01-15T01:38:08Z,,,sports,workshop,90
88cb1fd6-8b16-40aa-9bee-a6abd71fd3ac,Cancelled,31,Wedding,Thrilling adventure,789 Oak Lane,2023-01-02T17:41:31Z,,,marketing,exhibition,120
ba9047c0-2c4b-4f4e-aea9-20e037b0dab4,Completed,55,Fashion Show,Memorable occasion,321 Maple Court,2023-08-21T16:40:30Z,,,marketing,product launch,150
dd91564c-edbb-42cd-bb54-c84fdd6d65ad,Scheduled,42,Sports Tournament,Remarkable gathering,123 Main Street,2023-10-27T04:29:16Z,,,education,hackathon,75
0092e070-8fa6-48a9-9aba-72c51608ea6d,Completed,1,Music Festival,Remarkable gathering,456 Elm Avenue,2023-12-05T17:59:02Z,,,education,hackathon,90
2367ad7b-094d-4171-b634-4cee4e7ddb66,Cancelled,5,Product Launch,Memorable occasion,789 Oak Lane,2022-12-19T03:26:54Z,,,entertainment,hackathon,135
31e5ee92-de5b-4a2c-964c-9ce5f9459a44,Scheduled,89,Conference,Remarkable gathering,123 Main Street,2023-09-22T04:57:11Z,,,technology,meetup,150
757b595d-cdbd-4dab-9620-0eadfacd7c4e,In Progress,40,Art Exhibition,Memorable occasion,987 Pine Road,2023-03-22T19:16:07Z,,,healthcare,training,30
4ed7f915-3c00-462b-8107-6cf3709b9aee,Completed,48,Art Exhibition,Memorable occasion,456 Elm Avenue,2023-11-06T00:43:49Z,,,marketing,product launch,15
a57ddac1-b1ea-4d7f-8f11-70edac617ffb,Cancelled,64,Sports Tournament,Memorable occasion,789 Oak Lane,2023-10-05T16:18:26Z,,,finance,webinar,150
0dc561cd-ec2c-4cd4-bfe7-a18113de3bbc,Completed,84,Birthday Party,Remarkable gathering,456 Elm Avenue,2023-09-03T10:04:39Z,,,healthcare,conference,30
6ca26af9-4370-4b12-8d5a-0c897fd3a1ba,In Progress,100,Conference,Unforgettable experience,321 Maple Court,2023-08-27T06:34:15Z,,,finance,product launch,15
45ce32d5-066e-4082-a740-73dcd996f47e,Scheduled,94,Product Launch,Remarkable gathering,456 Elm Avenue,2023-01-24T16:43:35Z,,,entertainment,seminar,120
76b1d342-f9af-4f44-994d-b3da551bba20,In Progress,53,Fashion Show,Memorable occasion,123 Main Street,2023-05-28T10:17:13Z,,,sports,product launch,120
acbeceea-03d5-4d35-b43d-e1555a05c536,In Progress,32,Conference,Exciting event,789 Oak Lane,2022-12-27T08:55:30Z,,,finance,product launch,45
